ukb_code	fg_code	fg_name	category_fg	category_meta	description_ukb	description_more_ukb
30600					Albumin	
30610					Alkaline phosphatase	
30620					Alanine aminotransferase	
30630					Apolipoprotein A	
30640					Apolipoprotein B	
30650					Aspartate aminotransferase	
30660					Direct bilirubin	
30670					Urea	
30680					Calcium	
30690					Cholesterol	
30700					Creatinine	
30710					C-reactive protein	
30720					Cystatin C	
30730					Gamma glutamyltransferase	
30740					Glucose	
30750					Glycated haemoglobin (HbA1c)	
30760					HDL cholesterol	
30770					IGF-1	
30780					LDL direct	
30790					Lipoprotein A	
30800					Oestradiol	
30810					Phosphate	
30820					Rheumatoid factor	
30830					SHBG	
30840					Total bilirubin	
30850					Testosterone	
30860					Total protein	
30870					Triglycerides	
30880					Urate	
30890					Vitamin D	
100020					Typical diet yesterday	"Question asked: ""Would you say that what you ate and drank yesterday was fairly typical for you? N.B. Your questionnaire answers are just as important to us if your day was not typical."""
100240					Coffee consumed	"Question asked: ""Did you drink any coffee yesterday?"" If the participant activated the Help feature they were shown the message:  Include all coffee drinks whether hot, cold/iced, instant, shop bought (including Starbucks), machine made or made by hand. Coffee substitutes such as Barley Cup and Dandelion Coffee should not be recorded here. Instead, record this under other non-alcoholic drinks (further down the page). If some of your coffees were decaffeinated and some were not, please choose Varied for the decaf question. Likewise, if you added sugar/sweetener to some of your coffees but not all, or if the amount of sugar/sweetener you added varied from one coffee drink to another, please choose Varied. The questions on milk, decaffeinated coffee and sugar/sweetener need to be answered here."
100260					Added milk to instant coffee	"Question asked: ""Did you add milk, cream or whitener (e.g. Coffee-mate) to your instant coffee?"" This question was only asked to participants who reported drinking instant coffee yesterday."
100280					Added milk to filtered coffee	"Question asked: ""Did you add milk, cream or whitener (e.g. Coffee-mate) to your filter/americano/cafetiere coffee?"" This question was only asked to participants who reported drinking filter/americano/cafetiere coffee yesterday."
100320					Added milk to espresso	"Question asked: ""Did you add milk, cream or whitener (e.g. Coffee-mate) to your espresso?"" This question was only asked to participants who reported drinking coffee yesterday."
100350					Added milk to other coffee type	"Question asked: ""Did you add milk, cream or whitener (e.g. Coffee-mate) to your other type of coffee?"" This question was only asked to participants who reported drinking other coffee yesterday."
100360					Decaffeinated coffee	"Question asked: ""Was it decaffeinated coffee?"""
100390					Tea consumed	"Question asked: ""Did you drink any tea/infusion yesterday?"" If the participant activated the Help feature they were shown the message:  Standard tea covers all the different types of tea made with black tea leaves (this is the most common type of tea). This includes teabags and loose leaf tea as well as decaffeinated types. Peppermint tea belongs in the herbal or fruit infusion section. If you added honey to your tea/infusion, please treat this as sugar. Do not treat artificial sweetener as sugar. If your tea or infusion is not on the list, please record it under Other located at the bottom of the list."
100460					Added milk to standard tea	"Question asked: ""Did you add milk to your standard tea?"" This question was only asked to participants who reported drinking standard tea yesterday."
100470					Decaffeinated tea	"Question asked: ""Was your standard tea decaffeinated?"" This question was only asked to participants who reported drinking standard tea yesterday."
100480					Added milk to rooibos tea	"Question asked: ""Did you add milk to your rooibos/redbush tea?"" This question was only asked to participants who reported drinking rooibos/redbush tea yesterday."
100510					Other non-alcoholic drinks	"Question asked: ""Did you have any other (non-alcoholic) drinks yesterday? e.g. milk, yogurt drinks or hot chocolate."" If the participant activated the Help feature they were shown the message:  You will be asked about alcoholic drinks next. Actimel and yakult should be recorded under yogurt based drinks."
100580					Alcohol consumed	"Question asked: ""Did you have any alcoholic drinks yesterday? For instance, beer, wine or spirits."" If the participant activated the Help feature they were shown the message:  Please treat liqueurs as spirits. If you had mixed drinks such as shandy, cocktails or alcopops, think about what went in them. For example, shandy is made from beer, lager or cider (please record the lemonade or ginger beer used in the shandy separately); cocktails and alcopops contain one or more spirits. Alcohol used in cooking should be ignored."
100760					Breakfast cereal consumed	"Question asked: ""Did you eat any breakfast cereal yesterday? This could be at any time of the day. Please include hot cereals, but not cereal bars."" If the participant activated the Help feature they were shown the message:  If you had yogurt on your cereal (instead of milk), please record this later in the dessert section as a serving of yogurt. Two standard size shredded wheat or weetabix biscuits counts as one bowl. Please select the option that best describes your type of cereal, otherwise select the Other category."
